As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Anomaly,Comments
2024-01-28,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,40895,40895,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,33041,33041,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,12410,12410,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,46962,46962,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48026,48026,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,22027,22027,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,47712,47712,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49575,49575,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,24396,24396,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,46756,46756,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,27006,27006,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,15254,15254,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,40987,40987,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,37359,37359,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,22175,22175,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,13440,13440,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,43538,43538,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,10116,10116,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,45998,45998,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,47102,47102,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,29505,29505,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,45959,45959,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,49849,49849,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,13737,13737,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,48301,48301,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,38216,24441,13775,break,Yes,Sudden drop in IHub balance
2023-09-30,1111,1634789,5402,EUR,ALL OTHER LOANS,PRINCIPAL,27307,27307,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1634789,5402,EUR,ALL OTHER LOANS,PRINCIPAL,31705,31705,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1634789,5402,EUR,ALL OTHER LOANS,PRINCIPAL,34095,34095,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1634789,5402,EUR,ALL OTHER LOANS,PRINCIPAL,10354,10354,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1634789,5402,EUR,ALL OTHER LOANS,PRINCIPAL,26090,26090,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1634789,5402,EUR,ALL OTHER LOANS,PRINCIPAL,23540,23540,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,46383,46383,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48662,48662,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,33003,33003,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,38733,38733,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15820,15820,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,20187,20187,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,14818,14818,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16302,16302,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,10451,10451,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49708,49708,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17850,17850,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,21437,21437,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,36104,36104,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,45781,45781,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,16614,16614,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,23561,23561,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,37403,37403,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,23866,33706,-9840,break,Yes,Huge spike in outstanding balances
2023-09-30,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,22481,22481,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,15024,15024,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,19824,19824,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,24762,24762,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,16596,16596,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,44223,44223,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1619205,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,31760,31760,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,44197,44197,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,26293,26293,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,12025,12025,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,13583,13583,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,13571,13571,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1623456,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,13587,12706,881,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,0000,1623456,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,26361,25815,546,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,0000,1623456,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,28969,29298,-329,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,0000,1623456,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,17812,17648,164,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,0000,1623456,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,17127,16850,277,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,0000,1623456,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,28324,28888,-564,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,26045,26045,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,29387,29387,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,44937,44937,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,35903,35903,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,35615,35615,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,46469,46469,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,33504,33504,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,22105,22105,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,16693,16693,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,13523,13523,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,24246,24246,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,22466,17058,5408,break,Yes,Sudden drop in IHub balance
2023-09-30,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,38093,38093,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34471,34471,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,22774,22774,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30176,30176,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30755,30755,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30800,17977,12823,break,Yes,Sudden drop in IHub balance
2023-09-30,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,25871,25871,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,14235,14235,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,13033,13033,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,28954,28954,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,33209,33209,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,19831,19831,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,45256,45256,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,41740,41740,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,11556,11556,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,42021,42021,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,44507,44507,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,13644,13644,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,21926,21926,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,41867,41867,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,16569,16569,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,35830,35830,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,30223,30223,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,17854,17854,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,20864,20864,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,20712,20712,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,39286,39286,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,11773,11773,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,22936,22936,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30719,44496,-13777,break,Yes,Huge spike in outstanding balances
2023-09-30,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,11431,11431,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,22624,22624,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,41704,41704,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,38921,38921,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,36262,36262,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,32717,44229,-11512,break,Yes,Huge spike in outstanding balances
2023-09-30,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16505,17310,-805,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,37719,37140,579,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,11833,11756,77,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,23033,22229,804,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49655,50632,-977,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,1111,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,12370,12950,-580,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,2222,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15899,15349,550,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,2222,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,41935,42576,-641,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,2222,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,23744,23252,492,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,2222,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,29943,29534,409,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,2222,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,37100,37486,-386,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,2222,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49365,49461,-96,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,2222,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,47592,47592,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,30308,30308,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,31431,31431,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,13408,13408,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,25708,25708,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,11995,-1252,13247,break,Yes,Sudden drop in IHub balance
2023-09-30,2222,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,16337,16634,-297,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,2222,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,43830,44126,-296,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,2222,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,22544,22234,310,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,2222,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,16428,15779,649,break,Yes,Inconsistent variations in outstanding balances
